AICCoxy;d18O_vostok
2743.562829;-57.089
2767.295321;-57.0891
2791.666816;-57.0683
2813.382715;-57.3585
2834.265071;-56.3013
2855.147429;-56.2034
2876.801525;-57.1546
2899.22;-57.5467
2921.7939;-57.2026
2944.4005;-56.7847
2967.029285;-56.7666
2990.097143;-57.2004
3013.344886;-57.6194
3037.5031;-57.065
3061.147428;-57.5169
3083.674583;-56.7255
3105.925428;-57.0062
3127.51825;-56.6399
3149.557142;-56.5004
3171.52919;-57.345
3193.331304;-57.1336
3215.164476;-56.6767
3237.018352;-56.5244
3259.727107;-56.5667
3282.806621;-56.4522
3305.972649;-56.5062
3328.382614;-56.4302
3350.941279;-57.2635
3373.680722;-57.5383
3396.387366;-56.5632
3418.325031;-56.1834
3440.175536;-56.3362
3462.162964;-56.8208
3483.905378;-56.8266
3505.513663;-56.7042
3528.962458;-55.7287
3553.307689;-56.8394
3577.686857;-56.9354
3601.287136;-56.2848
3623.634286;-56.7071
3645.553143;-56.8772
3666.843637;-56.2083
3688.547429;-55.9829
3710.175131;-56.3334
3732.333635;-56.813
3754.854643;-56.6867
3776.647784;-56.8591
3800.085714;-57.4042
3823.57555;-57.5554
3847.562166;-57.3372
3871.081768;-56.9603
3894.463827;-56.5593
3917.173239;-57.0742
3940.329911;-57.3091
3963.054199;-56.9983
3987.178774;-57.2165
4011.215568;-56.9803
4034.935261;-57.2055
4059.420191;-57.1909
4083.718074;-57.2119
4107.794224;-57.1676
4132.664298;-57.1183
4157.152565;-56.9011
4181.728932;-57.021
4207.254153;-56.7805
4232.33329;-56.9225
4257.047842;-57.1691
4281.246208;-57.0369
4304.388625;-57.1825
4327.198937;-57.0873
4349.998763;-56.7321
4372.178952;-56.9243
4393.347655;-57.0993
4414.180636;-56.9455
4435.013618;-56.5281
4456.607191;-56.5858
4477.895628;-56.6914
4498.835909;-56.9319
4519.776191;-56.3972
4540.92137;-56.9095
4562.822296;-56.9593
4584.453807;-56.2576
4605.765647;-56.0687
4628.41246;-56.2527
4651.768852;-56.7073
4675.093159;-56.4206
4698.417467;-56.5442
4723.405179;-57.1639
4748.608864;-57.1033
4773.408125;-56.3304
4798.207387;-56.4193
4821.968375;-56.5308
4845.165588;-56.657
4868.4475;-56.4667
4891.74;-56.0586
4916.368864;-55.4867
4941.772905;-55.9064
4967.211574;-54.7989
4992.661784;-56.7556
5017.634432;-57.1704
5042.351659;-56.8269
5067.1025;-56.7519
5091.853341;-56.7824
5115.739693;-56.8923
5139.188471;-57.2807
5162.045228;-56.9721
5185.203773;-56.7434
5209.33475;-56.3715
5233.8105;-56.4836
5258.28625;-57.6796
5282.762;-57.5517
5306.29685;-56.3753
5329.36104;-56.7875
5352.703315;-56.6084
5376.173936;-56.4643
5399.572776;-56.3434
5422.932695;-56.7052
5446.494909;-56.8652
5470.151979;-56.9975
5493.377867;-56.4818
5516.413635;-56.6504
5539.480311;-55.8109
5562.557289;-55.3847
5586.392727;-57.0824
5610.636273;-56.6185
5634.538444;-55.8855
5658.285556;-56.2015
5682.140817;-56.5188
5706.045078;-56.457
5729.949339;-56.0906
5753.8536;-56.0592
5778.405909;-56.2945
5802.518939;-56.67
5827.125909;-57.0303
5851.344852;-56.9275
5875.8055;-56.735
5900.137889;-57.4225
5924.309844;-57.2883
5948.354373;-56.9934
5972.103059;-57.0477
5995.753295;-56.5553
6019.527556;-56.7486
6043.36352;-57.1388
6067.766576;-57.4957
6093.176795;-57.6138
6118.102728;-57.0167
6142.727217;-55.7503
6167.373085;-55.8972
6191.247228;-57.0928
6214.83031;-57.103
6238.778967;-56.2208
6263.18385;-56.732
6287.345345;-57.2198
6311.437386;-56.7338
6335.561211;-56.8129
6360.04055;-56.8531
6384.644421;-56.6422
6409.216046;-56.648
6433.78767;-56.1932
6460.244669;-56.3615
6487.488109;-57.0537
6514.731547;-57.5886
6541.728185;-57.0454
6567.285348;-56.7053
6592.330978;-57.1841
6617.376608;-57.1769
6642.422239;-56.7622
6667.025891;-56.3477
6691.44675;-56.4389
6715.867608;-56.5364
6740.299131;-56.8983
6764.576581;-57.268
6788.770801;-56.9096
6812.93338;-56.8142
6837.09596;-56.8892
6862.821516;-56.9568
6889.471116;-57.0351
6916.180149;-56.6685
6942.88918;-56.9214
6969.35011;-56.4495
6995.497565;-56.356
7021.560783;-57.271
7047.624;-56.3568
7073.654071;-56.4727
7099.669891;-57.3255
7125.685712;-57.1343
7151.690197;-56.9186
7177.660675;-56.7897
7203.631153;-56.778
7229.692318;-56.7959
7255.753484;-56.4784
7281.780641;-56.213
7307.785127;-56.2741
7333.755605;-57.1619
7359.703411;-56.8117
7385.61721;-56.3615
7411.519673;-57.0304
7437.422136;-56.1541
7463.335935;-56.4486
7489.283741;-56.7366
7515.231548;-56.1751
7541.145347;-56.5797
7567.059145;-56.3959
7593.006952;-57.3323
7618.954758;-57.0527
7644.868557;-56.2653
7670.782356;-56.0349
7696.730162;-56.224
7722.677969;-56.7858
7748.591768;-57.0094
7774.505566;-56.6476
7800.453373;-56.2019
7826.401179;-57.2148
7852.258299;-57.0016
