AgeC14intcal;C14Intcal20
1685;0.988931017
1690;0.649306275
1695;0.277676274
1700;0.049607245
1705;-0.114703279
1710;-0.326977801
1715;-0.587214245
1720;-0.719851007
1725;-0.67700549
1730;-0.618282632
1735;-0.68732225
1740;-0.868165606
1745;-1.049090361
1750;-1.150293245
1755;-1.107932921
1760;-0.953931655
1765;-0.78404826
1770;-0.662127266
1775;-0.572205146
1780;-0.498323163
1785;-0.472400388
1790;-0.414635149
1795;-0.388870382
1800;-0.363182224
1805;-0.241811861
1810;-0.072636945
1815;0.080500069
1820;0.073956331
1825;-0.188030322
1830;-0.5298943
1835;-0.664350541
1840;-0.703121385
1845;-0.773887911
1850;-0.637248297
1855;-0.261277085
1860;0.050776819
1865;-0.03625265
1870;-0.251040126
1875;-0.290337662
1880;-0.233948204
1885;-0.273394171
1890;-0.408677157
1895;-0.512112892
1900;-0.440058366
1905;-0.224432653
1910;-0.040802622
1915;0.094874425
1920;0.118756671
1925;-0.017036727
1930;-0.168861961
1935;-0.19307698
1940;-0.185443152
1945;-0.305563821
1950;-0.585358058
1955;-0.609858767
1960;-0.299262681
1965;0.107025506
1970;0.257877479
1975;0.312897539
1980;0.383807709
1985;0.342926908
1990;0.126412524
1995;-0.154012306
2000;-0.434505766
2005;-0.73102803
2010;-0.868017175
2015;-0.749706409
2020;-0.519743527
2025;-0.273887345
2030;-0.060019344
2035;0.073979634
2040;0.064268409
2045;-0.073192365
2050;-0.130918022
2055;-0.156789564
2060;-0.150806673
2065;-0.11296903
2070;-0.075197302
2075;-0.037491012
2080;0.095911846
2085;0.261170096
2090;0.426364344
2095;0.511691484
2100;0.421389508
2105;0.394866625
2110;0.432119641
2115;0.405467479
2120;0.2510688
2125;0.016806045
2130;-0.041956554
2135;0.154583153
2140;0.335099961
2145;0.292109204
2150;-0.022269482
2155;-0.40055175
2160;-0.619291325
2165;-0.550808722
2170;-0.322781829
2175;-0.222501453
2180;-0.425526482
2185;-0.724375762
2190;-0.624275737
2195;-0.300791681
2200;-0.136972096
2205;-0.116855052
2210;-0.160639197
2215;-0.188521901
2220;-0.120703088
2225;0.090699999
2230;0.381846184
2235;0.672933954
2240;0.884160999
2245;0.999566984
2250;1.06703451
2255;1.182325581
2260;1.361400532
2265;1.652133983
2270;1.990700555
2275;2.297282618
2280;2.508054793
2285;2.559159784
2290;2.418692881
2295;2.166439797
2300;1.850281534
2305;1.581959585
2310;1.37741992
2315;1.316468999
2320;1.30334322
2325;1.290163176
2330;1.229046268
2335;1.056152754
2340;0.739561966
2345;0.327154906
2350;-0.08530562
2355;-0.481860078
2360;-0.79866633
2365;-0.987844174
2370;-1.081311084
2375;-1.079070253
2380;-0.997082015
2385;-0.851303513
2390;-0.657696677
2395;-0.496061583
2400;-0.398320496
2405;-0.380433749
2410;-0.394518744
2415;-0.376734144
2420;-0.295159279
2425;-0.245556155
2430;-0.227924774
2435;-0.2263048
2440;-0.1768533
2445;-0.095532683
2450;0.033619778
2455;0.1786823
2460;0.259854964
2465;0.197333546
2470;0.102843898
2475;0.167907478
2480;0.408487174
2485;0.537295052
2490;0.330886432
2495;-0.01921228
2500;-0.225715864
2505;-0.144982109
2510;-0.016414752
2515;-0.031537808
2520;-0.094589268
2525;-0.045965471
2530;0.114333743
2535;0.210745015
2540;0.147506181
2545;0.004419485
2550;-0.011030741
2555;0.164996313
2560;0.436741754
2565;0.628637642
2570;0.660885497
2575;0.597326658
2580;0.709286807
2585;0.964843681
2590;1.124595455
2595;1.41198362
2600;1.811051032
2605;2.24199602
2610;2.194083096
2615;1.491758159
2620;1.172434962
2625;1.092473687
2630;1.45935868
2635;1.826197389
2640;2.14511679
2645;2.46398831
2650;2.623224566
2655;2.702611269
2660;3.101156778
2665;3.164503345
2670;2.988397016
2675;3.019727152
2680;3.098906371
2685;3.066331328
2690;3.033692445
2695;2.985077266
2700;2.760834569
2705;2.600401288
2710;2.487817089
2715;2.502867685
2720;2.310402013
2725;1.926364448
2730;1.685922011
2735;1.780630635
2740;1.540113184
2745;1.219760545
2750;1.043014206
2755;0.642783286
2760;0.194633058
2765;0.049691516
2770;-0.063367662
2775;-0.064742326
2780;-0.241717695
2785;-0.482573505
2790;-0.56386268
2795;-0.549426557
2800;-0.519066809
2805;-0.440864363
2810;-0.362697029
2815;-0.236686998
2820;-0.078790772
2825;0.110989414
2830;0.348615172
2835;0.506402229
2840;0.520511165
2845;0.343060975
2850;0.085774001
2855;-0.123667242
2860;-0.221420938
2865;-0.239408235
2870;-0.273389383
2875;-0.387207315
2880;-0.564901697
2885;-0.710707332
2890;-0.744825739
2895;-0.651294987
2900;-0.446075412
2905;-0.224929019
2910;-0.051696987
2915;0.009779907
2920;0.023343079
2925;-0.011007487
2930;-0.061350914
2935;-0.095766183
2940;-0.066372355
2945;0.010870445
2950;0.056160718
2955;-0.042223571
2960;-0.252361642
2965;-0.494451186
2970;-0.624850309
2975;-0.547795411
2980;-0.359050093
2985;-0.154374606
2990;-0.061451624
