AICCBeNorm;Benorm_vostok
3866.14;0.289531
3889.48;0.0759077
3912.47;-0.941345
3935.46;-0.83962
3958.45;-0.147888
3982.05;-0.849793
4006.26;0.177633
4030.48;-0.859965
4054.69;-1.69411
4079.08;0.360739
4103.65;0.340394
4128.22;-1.86705
4152.79;-0.127543
4177.62;0.279358
4202.72;-0.381856
4227.83;-0.75824
4252.93;-0.575134
4277.02;-0.239441
4300.09;-1.16514
4323.16;-0.615824
4346.23;0.0555627
4368.35;-0.83962
4389.51;-0.0970253
4410.67;-0.788757
4431.83;1.70351
4453.02;0.798157
4474.24;1.17658
4495.46;-0.351339
4516.68;-0.534444
4538.04;0.50824
4559.54;0.208151
4581.03;-0.310648
4602.53;-0.463236
4625.04;0.0250451
4648.57;-0.686015
4672.1;-0.79893
4695.63;-0.666687
4719.85;-0.534444
4744.76;-0.523254
4769.67;-0.921
4794.58;-0.208923
4818.69;0.72695
4841.98;2.11041
4865.27;1.68317
4888.56;-0.178406
4912.91;-1.44997
4938.3;0.0453901
4963.69;-1.52118
4989.08;0.482809
5014.1;-0.320821
5038.76;-1.60256
5063.4;0.88971
5088.06;-1.11428
5112.07;-0.88031
5135.46;-0.107198
5158.84;-0.806051
5182.23;-1.25669
5206.07;-1.59747
5230.39;-0.290303
5254.69;2.31386
5279.01;2.00869
5302.86;1.38816
5326.27;0.584534
5349.68;0.136943
5373.09;-1.75515
5396.42;-0.941345
5419.66;-0.534444
5442.9;1.53058
5466.15;0.68626
5489.36;-0.992208
5512.54;-0.432719
5535.72;-0.67686
5558.9;1.09316
5582.39;-0.0156451
5606.19;0.635397
5629.99;-1.24652
5653.79;-0.330994
5677.67;0.360739
5701.63;-0.432719
5725.58;-1.22618
5749.54;-0.931173
5773.7;-0.636169
5798.06;-1.30756
5822.42;-0.534444
5846.78;0.381084
5870.99;0.0860802
5895.06;0.645569
5919.12;1.39834
5943.18;1.09316
5967.08;-0.127543
5990.8;-0.534444
6014.52;-0.0258176
6038.24;0.279358
6062.6;-0.737895
6087.61;-0.83962
6112.61;0.594707
6137.62;-0.0258176
6162.09;-0.208923
6186.04;1.17454
6209.99;0.88971
6233.94;-0.503927
6258.09;0.787985
6282.46;2.41559
6306.83;1.50006
6331.2;-0.198751
6355.59;0.269186
6380;-0.83962
6404.42;1.39834
6428.83;-0.0258176
6454.55;0.787985
6481.58;0.482809
6508.59;0.381084
6535.62;0.248841
6561.71;-0.168233
6586.86;2.72077
6612.02;0.381084
6637.17;1.70351
6662.01;2.72077
6686.54;2.41559
6711.07;0.279358
6735.6;0.533672
6759.99;-0.432719
6784.25;0.381084
6808.5;0.177633
6832.76;0.248841
6858.15;1.2254
6884.68;-0.0258176
6911.2;3.02594
6937.72;0.482809
6964.05;0.0759077
6990.16;0.68626
7016.28;0.381084
7042.4;0.157288
7068.5;-0.432719
7094.57;-0.229268
7120.64;-0.127543
7146.71;0.289531
7172.79;2.11041
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
