AICC-C14Be;C14Be 
2231.647625;0.456793
2236.761375;0.482574
2241.875125;0.435218
2246.988875;0.25148
2252.102625;0.0598244
2257.264821;-0.0369687
2262.626184;0.0441104
2268.009079;0.441412
2273.391974;0.927649
2278.646342;1.35853
2283.635625;1.70245
2288.616875;1.92382
2293.598125;2.12937
2298.579375;2.36457
2303.560625;2.6788
2308.541875;3.12151
2313.523125;3.48909
2318.504375;3.65704
2323.485625;3.44355
2328.466875;2.65093
2333.448125;1.7931
2338.429375;1.01827
2343.410625;0.385742
2348.391875;-0.0471761
2353.373125;-0.44057
2358.538975;-0.849782
2364.085563;-1.31434
2369.643687;-1.86784
2375.201813;-2.3502
2380.759937;-2.65666
2386.318062;-2.62712
2391.876188;-2.09162
2397.434312;-1.51463
2402.992438;-1.05622
2408.550562;-0.819179
2414.108688;-0.906281
2419.666812;-1.04082
2425.224938;-1.13782
2430.783062;-1.15971
2436.341188;-1.0729
2441.899313;-0.958428
2447.341237;-0.820242
2452.5435;-0.638577
2457.7385;-0.381813
2462.9335;-0.148769
2468.1285;0.0170721
2473.3235;0.0485102
2478.5185;-0.12363
2483.7135;-0.317515
2488.829338;-0.481756
2493.781905;-0.592636
2498.729524;-0.618534
2503.677143;-0.612812
2508.66929;-0.607092
2513.8445;-0.601376
2519.0395;-0.599617
2524.2345;-0.591931
2529.488337;-0.56646
2534.984062;-0.503439
2540.505938;-0.381129
2546.027812;-0.24301
2551.502357;-0.122682
2556.782321;-0.0320037
2562.04125;-0.000621547
2567.300179;0.0188989
2572.580143;0.115498
2578.054688;0.366258
2583.576563;0.923364
2589.098437;1.60103
2594.620313;2.09883
2600.142187;2.25471
2605.664062;1.76825
2611.185938;0.945781
2616.666301;0.259684
2621.762679;-0.179359
2626.765655;-0.155915
2631.768631;0.274675
2636.77661;0.655853
2641.949687;0.936228
2647.202812;1.02686
2652.455937;0.951471
2657.70406;0.897818
2662.787083;0.895551
2667.79006;0.998034
2672.793036;1.22305
2677.796012;1.42831
2682.924063;1.57427
2688.177187;1.61152
2693.430313;1.5203
2698.683437;1.42117
2704.159107;1.32994
2709.857321;1.25452
2715.555536;1.20875
2721.25375;1.15902
2727.043136;1.09941
2733.020562;1.02201
2739.003688;0.914958
2744.986813;0.780233
2750.878766;0.592142
2756.582679;0.299296
2762.280893;-0.191196
2767.979107;-0.735055
2773.728605;-1.24927
2779.688938;-1.73186
2785.672062;-2.17097
2791.655188;-2.56464
2797.469279;-2.89307
2802.588452;-3.11281
2807.6325;-3.13491
2812.676548;-3.02853
2817.720595;-2.89054
2822.764643;-2.6893
2827.80869;-2.35565
2832.852738;-1.91131
2837.896786;-1.51046
2842.940833;-1.18077
2847.984881;-0.981523
2853.028929;-0.942371
2858.072976;-0.922988
2863.243125;-0.917442
2868.539375;-0.937592
2873.835625;-0.991346
2879.131875;-1.06487
