Age_synchroBe;C14Be 
2356.5;-1.86784
2361.21;-2.3502
2365.92;-2.65666
2370.64;-2.62712
2375.35;-2.09162
2380.06;-1.51463
2384.78;-1.05622
2389.49;-0.819179
2394.21;-0.906281
2399;-1.04082
2404.3;-1.13782
2410.15;-1.15971
2416.12;-1.0729
2422.08;-0.958428
2428.05;-0.820242
2434.02;-0.638577
2439.98;-0.381813
2445.95;-0.148769
2451.91;0.0170721
2457.88;0.0485102
2463.84;-0.12363
2469.81;-0.317515
2475.77;-0.481756
2481.74;-0.592636
2487.71;-0.618534
2493.67;-0.612812
2499.64;-0.607092
2505.6;-0.601376
2511.57;-0.599617
2517.53;-0.591931
2523.5;-0.56646
2529.47;-0.503439
2535.43;-0.381129
2541.4;-0.24301
2547.36;-0.122682
2553.33;-0.0320037
2559.29;-0.000621547
2565.26;0.0188989
2571.22;0.115498
2577.19;0.366258
2583.16;0.923364
2589.12;1.60103
2595.09;2.09883
2601.05;2.25471
2607.02;1.76825
2612.98;0.945781
2618.95;0.259684
2624.91;-0.179359
2630.88;-0.155915
2636.84;0.274675
2642.81;0.655853
2648.78;0.936228
2654.74;1.02686
2660.71;0.951471
2666.67;0.897818
2672.64;0.895551
2678.6;0.998034
2684.57;1.22305
2690.53;1.42831
2696.5;1.57427
2702.47;1.61152
2708.43;1.5203
2714.4;1.42117
2720.36;1.32994
2726.33;1.25452
2732.29;1.20875
2738.26;1.15902
2744.23;1.09941
2750.19;1.02201
2756.16;0.914958
2762.12;0.780233
2768.09;0.592142
2774.05;0.299296
2779.73;-0.191196
2784.95;-0.735055
2789.66;-1.24927
2794.38;-1.73186
2799.09;-2.17097
2803.8;-2.56464
2808.52;-2.89307
2813.23;-3.11281
2817.94;-3.13491
2822.66;-3.02853
2827.37;-2.89054
2832.09;-2.6893
2836.8;-2.35565
2841.51;-1.91131
2846.23;-1.51046
2850.94;-1.18077
2855.65;-0.981523
2860.37;-0.942371
2865.08;-0.922988
2869.79;-0.917442
2874.51;-0.937592
2879.22;-0.991346
2883.93;-1.06487
2888.65;-1.1799
2893.36;-1.37992
2898.07;-1.71632
2902.79;-2.01912
