age;intcal20_detrended
3450;-1.10246
3455;-3.33362
3460;-4.76488
3465;-4.49623
3470;-5.92769
3475;-4.15923
3480;-4.39088
3485;-6.42262
3490;-7.05445
3495;-7.98637
3500;-8.31838
3505;-6.45049
3510;-6.58268
3515;-6.81496
3520;-6.74733
3525;-5.07979
3530;-4.11233
3535;-3.24496
3540;-2.67767
3545;-1.31047
3550;-2.14334
3555;-1.5763
3560;-2.20934
3565;-3.84246
3570;-5.07565
3575;-6.80893
3580;-7.24228
3585;-7.2757
3590;-7.10921
3595;-7.84278
3600;-6.87643
3605;-5.11015
3610;-4.14394
3615;-3.87781
3620;-4.11174
3625;-3.84574
3630;-3.47981
3635;-3.61395
3640;-5.34815
3645;-6.98242
3650;-8.21675
3655;-8.05115
3660;-6.18561
3665;-3.72013
3670;-1.55471
3675;-0.389348
3680;-0.324048
3685;-1.55881
3690;-3.79362
3695;-5.92849
3700;-7.16342
3705;-6.7984
3710;-5.83344
3715;-5.46853
3720;-6.60367
3725;-8.23886
3730;-9.57411
3735;-9.8094
3740;-8.84474
3745;-7.38013
3750;-5.71557
3755;-4.55105
3760;-3.88658
3765;-3.92215
3770;-4.65777
3775;-5.89342
3780;-6.72912
3785;-6.06486
3790;-3.90065
3795;-0.936466
3800;1.62767
3805;3.19178
3810;3.75585
3815;3.31988
3820;1.98387
3825;0.247834
3830;-1.68824
3835;-3.32434
3840;-4.66048
3845;-5.49664
3850;-5.83284
3855;-5.46907
3860;-4.90532
3865;-4.2416
3870;-3.97791
3875;-4.01424
3880;-4.2506
3885;-4.38698
3890;-4.52339
3895;-5.05982
3900;-5.79627
3905;-6.23274
3910;-6.16923
3915;-5.70574
3920;-5.14227
3925;-5.47881
3930;-6.91537
3935;-8.15195
3940;-7.38854
3945;-5.02515
3950;-2.66177
3955;-1.5984
3960;-1.63505
3965;-2.2717
3970;-3.10837
3975;-3.84504
3980;-5.08173
3985;-6.81842
3990;-8.15512
3995;-8.59182
4000;-8.72853
4005;-8.66524
4010;-8.70196
4015;-8.63867
4020;-8.4754
4025;-7.81212
4030;-6.74884
4035;-5.18556
4040;-3.42228
4045;-1.759
4050;-0.395714
4055;0.567575
4060;0.830868
4065;0.594167
4070;0.457472
4075;0.420784
4080;-0.415896
4085;-2.05257
4090;-4.08923
4095;-6.12588
4100;-7.46252
4105;-7.59915
4110;-6.73577
4115;-5.47237
4120;-3.90896
4125;-2.34553
4130;-0.682092
4135;0.481366
4140;0.344842
4145;-1.09166
4150;-3.72815
4155;-6.46462
4160;-8.20106
4165;-7.93749
4170;-6.47389
4175;-5.51027
4180;-5.54663
4185;-6.18296
4190;-6.41927
4195;-5.55555
4200;-3.5918
4205;-1.42803
4210;0.435772
4215;1.1996
4220;0.963465
4225;0.327358
4230;-0.508719
4235;-1.44476
4240;-2.78077
4245;-4.11675
4250;-4.65269
4255;-4.7886
4260;-4.62447
4265;-4.0603
4270;-3.0961
4275;-1.73186
4280;-0.667574
4285;-0.603252
4290;-1.43889
4295;-2.87448
4300;-3.91004
4305;-4.04555
4310;-3.48101
4315;-3.21643
4320;-2.65181
4325;-1.58714
4330;0.0775801
4335;1.74235
4340;2.70716
4345;2.87202
4350;2.33694
4355;1.5019
4360;0.766919
4365;1.43199
4370;3.09711
4375;4.26229
4380;4.72752
4385;5.0928
4390;5.35814
4395;5.82354
4400;6.089
4405;5.35452
4410;3.52009
4415;0.985725
4420;-2.64858
4425;-4.78282
4430;-4.117
4435;-3.25112
4440;-3.58517
4445;-5.31916
4450;-7.25309
4455;-8.08694
4460;-7.42074
4465;-5.65446
4470;-3.98811
4475;-3.0217
