age;stackVKtr;stackFluxVKtr
1531;-12.5398147;-12.96746698
1526;-10.7896789;-11.38932566
1521;-9.860490168;-10.56877365
1516;-9.318200221;-10.10493078
1511;-8.706578841;-9.325583958
1506;-7.93590566;-8.152086597
1501;-7.437524147;-7.456406245
1496;-7.077169705;-7.000934896
1491;-6.846980566;-6.720888194
1486;-9.332167753;-9.090609799
1481;-10.75707438;-10.44606828
1476;-11.45883616;-11.10778501
1471;-11.82534826;-11.44833142
1466;-12.00938923;-11.80347945
1461;-12.11497578;-12.11964485
1456;-12.19964309;-12.31361201
1451;-12.27341471;-12.44842269
1446;-12.62047549;-12.83195129
1441;-13.9122309;-14.14209358
1436;-14.65940441;-14.90696248
1431;-15.10850932;-15.37361772
1426;-15.41772359;-15.70015325
1421;-14.99335686;-14.93391637
1416;-14.66272178;-14.32969112
1411;-14.55787236;-14.0822659
1406;-14.55733024;-14.00078961
1401;-13.95161733;-13.39540324
1396;-12.7255807;-12.23509328
1391;-12.09867512;-11.63361317
1386;-11.76997921;-11.31051853
1381;-11.55934637;-11.09977927
1376;-10.51481379;-10.18390128
1371;-9.865343059;-9.608145049
1366;-9.47966359;-9.259294746
1361;-9.218935659;-9.018330388
1356;-8.642473295;-8.324683628
1351;-8.025726006;-7.562733579
1346;-7.630147077;-7.090348474
1341;-7.342733757;-6.758925331
1336;-7.547298856;-6.866413225
1331;-9.269232026;-8.266453865
1326;-10.15542387;-8.96711046
1321;-10.58630012;-9.286936159
1316;-10.80685439;-9.431504123
1311;-11.19908713;-10.26769886
1306;-11.49370774;-10.9188051
1301;-11.66743231;-11.26975534
1296;-11.78345186;-11.47914535
1291;-10.47922965;-10.36528614
1286;-7.791823299;-7.983533386
1281;-6.356125384;-6.721737099
1276;-5.544521654;-6.018225644
1271;-5.005358754;-5.562877347
1266;-3.802017314;-4.721333863
1261;-2.990538358;-4.145773181
1256;-2.435217435;-3.741625636
1251;-2.003449852;-3.420766911
1246;-1.737714107;-3.050620896
1241;-1.524726925;-2.68626708
1236;-1.274638949;-2.385591253
1231;-1.010398207;-2.11830341
1226;-1.463039633;-2.535348036
1221;-4.360318327;-5.223258607
1216;-5.866012564;-6.628554429
1211;-6.61387308;-7.334979865
1206;-7.010348178;-7.717339603
1201;-9.082882847;-9.558419442
1196;-10.72537766;-11.01943986
1191;-11.65592007;-11.85558644
1186;-12.24892307;-12.39533006
1181;-12.77289438;-12.93840333
1176;-13.30762133;-13.55374728
1171;-13.71763264;-14.00139929
1166;-14.06234861;-14.36257271
1161;-14.32724305;-14.62675137
1156;-12.62620464;-12.5915082
1151;-11.69643962;-11.45846981
1146;-11.29137195;-10.93983161
1141;-11.12860188;-10.70558368
1136;-10.35374269;-10.518232
1131;-9.494188291;-10.37655465
1126;-9.052159977;-10.31033909
1121;-8.810220577;-10.28066869
1116;-8.868424303;-10.40933723
1111;-9.671503376;-11.02400474
1106;-10.097471;-11.37097826
1101;-10.31705708;-11.57182756
1096;-10.44155599;-11.70484906
1091;-11.22963808;-12.30232903
1086;-11.86190736;-12.78965685
1081;-12.22542339;-13.08770251
1076;-12.46194159;-13.29596056
1071;-12.64190405;-13.73801375
1066;-12.79594434;-14.43081986
1061;-12.93149615;-14.86217137
1056;-13.05685845;-15.16209465
1051;-13.17536223;-15.38876339
1046;-13.25794641;-15.12965502
1041;-13.35024132;-15.03743472
1036;-13.44871733;-15.06052926
1031;-13.54905899;-15.13581104
1026;-13.68630106;-15.05976906
1021;-13.82960428;-14.96062109
