age_C14;BeVKn;BeEDMLn;BeWDnorm;BeDFnorm;BeSPnorm;BeSDnorm;BeODCnorm;BeDA Norm ;BeLDCNorm;BeEDCNorm;BeSPInorm;number_sites;stackVK
2987;0.925899227;0.92491805;;;;0.887446546;1.056271407;0.85732689;;;;5;0.930372424
3009;0.888862573;0.957822546;;;;0.892662866;0.899037454;0.80707919;;;;5;0.889092926
3031;0.965686388;0.965018154;;;;0.971133614;0.873435622;0.997620405;;;;5;0.954578837
3053;0.873728051;0.950447614;;;;0.966868031;0.882361539;1.122889881;;;;5;0.959259023
3075;0.98910943;0.858875395;;;;0.915360199;1.019812374;1.015297782;;;;5;0.959691036
3097;0.916173856;0.938620296;;;;0.928548204;0.995643728;;;;;4;0.944746521
3119;0.948719963;0.996238403;;;;0.938740371;1.031029364;;;;;4;0.978682025
3141;1.022859996;0.978261906;;;;0.929127714;0.947900005;;;;;4;0.969537405
3163;0.968483765;0.952282572;;;;0.961835758;0.767188046;;;;;4;0.912447536
3185;0.920429545;0.944382293;;;;0.988559821;0.597389653;;;;;4;0.862690328
3207;0.976447299;0.937335837;;;;0.965663186;0.688854425;;;;;4;0.892075187
3229;0.877372222;0.957043203;;;;0.943310884;0.605863159;;;;;4;0.845897367
3251;0.954313213;0.877646935;;;;0.923520282;0.723076747;;;;;4;0.869639294
3273;0.985318838;0.972847533;;;;0.918465622;0.781042741;;;;;4;0.914418683
3295;0.915933923;1.015950137;;;;0.948499826;0.84695501;;;;;4;0.931834724
3317;1.127007311;1.043992865;;;;0.980040503;0.964142475;;;;;4;1.028795788
3339;1.121209322;1.162439895;;;;0.996811337;1.085277688;;;;;4;1.091434561
3361;1.011530798;1.052617807;;;;0.966204963;0.940410365;;;;;4;0.992690983
3383;1.005919269;0.958264716;;;;0.940598491;0.839739349;;;;;4;0.936130456
3405;1.007810515;0.900311627;;;;0.934501842;0.918704181;;;;;4;0.940332041
3427;1.028420794;0.849752234;;;;0.929161855;0.957790183;;;;;4;0.941281267
3449;0.969923877;1.044900484;;;;0.923821867;1.026971663;;;;;4;0.991404473
3471;0.899887452;0.975570125;;;;0.91848188;1.110993877;;;;;4;0.976233334
3493;0.892306686;0.941217883;;;;;1.143126984;;;;;3;0.992217184
3515;0.883811417;0.907825263;;;;;1.118923223;;;;;3;0.970186634
3537;0.910045247;0.961627258;;;;;1.18845285;;;;;3;1.020041785
3559;0.965742114;1.042331922;;;;;1.169372503;;;;;3;1.059148846
3581;0.922539682;1.034032022;;;;;0.839074542;;;;;3;0.931882082
3603;0.973170134;0.992648293;;;;;1.044261526;;;;;3;1.003359984
3625;0.969964106;0.903889742;;;;;1.071484952;;;;;3;0.9817796
3647;0.879166171;0.869999949;;;;;0.932505925;;;;;3;0.893890682
3669;0.94869128;0.890922065;;;;;0.884017244;;;;;3;0.907876863
3691;1.030943673;0.905561296;;;;;0.926120333;;;;;3;0.954208434
3713;0.992889656;0.992697936;;;;;0.983327075;;;;;3;0.989638222
3735;0.975691557;0.991461823;;;;;0.997549896;;;;;3;0.988234425
3757;0.890494633;0.926188279;;;;;0.977900554;;;;;3;0.931527822
3779;0.86119457;0.887669606;;;;;0.968030034;;;;;3;0.905631403
3801;0.994225682;0.901593855;;;;;1.082367871;;;;;3;0.992729136
3823;1.029631296;1.015970659;;;;;1.16213479;;;;;3;1.069245581
3845;1.013648848;0.977203695;;;;;1.038740575;;;;;3;1.009864373
3867;0.933499987;0.892877453;;;;;0.985201714;;;;;3;0.937193052
3889;0.89672396;0.950291378;;;;;0.996337226;;;;;3;0.947784188
3911;0.932555469;0.966817935;;;;;1.028436815;;;;;3;0.975936739
3933;0.962035061;0.910876344;;;;;1.127318406;;;;;3;1.000076604
3955;0.925644045;0.890198632;;;;;1.137917869;;;;;3;0.984586849
3977;0.996509658;0.903360244;;;;;1.099639555;;;;;3;0.999836486
3999;0.928325518;0.94566706;;;;;1.114417294;;;;;3;0.996136624
4021;0.838940605;0.900478409;;;;;1.154019414;;;;;3;0.964479476
4043;0.919598948;0.903431283;;;;;1.193621534;;;;;3;1.005550588
4065;1.04283854;0.938370235;;;;;1.217645049;;;;;3;1.066284608
4087;0.985516476;0.935701589;;;;;1.139345761;;;;;3;1.020187942
4109;0.833787262;0.90202404;;;;;1.042427179;;;;;3;0.926079494
4131;0.969277145;0.860805347;;;;;0.972219576;;;;;3;0.934100689
4153;1.018322476;0.958431486;;;;;1.026396106;;;;;3;1.001050023
4175;0.955884102;0.94016414;;;;;1.090402511;;;;;3;0.995483584
4197;0.920102586;0.879052945;;;;;1.096803841;;;;;3;0.965319791
4219;0.944280165;0.958732404;;;;;;;;;;2;0.951506284
4241;0.934820634;1.001302383;;;;;;;;;;2;0.968061509
4263;0.891637497;0.88544535;;;;;;;;;;2;0.888541423
4285;0.96590693;0.877041929;;;;;;;;;;2;0.921474429
4307;0.952450579;0.886711311;;;;;;;;;;2;0.919580945
4329;0.955130549;0.967000916;;;;;;;;;;2;0.961065733
4351;0.942697655;0.966665103;;;;;;;;;;2;0.954681379
4373;1.115009828;0.97020992;;;;;;;;;;2;1.042609874
4395;1.124305459;1.023117645;;;;;;;;;;2;1.073711552
4417;1.118646162;1.019116893;;;;;;;;;;2;1.068881527
4439;0.994775603;0.961588052;;;;;;;;;;2;0.978181827
4461;0.948963995;0.937712937;;;;;;;;;;2;0.943338466
4483;1.027294576;1.000885991;;;;;;;;;;2;1.014090284
4505;1.036420377;1.121565542;;;;;;;;;;2;1.07899296
4527;0.985758418;1.067837527;;;;;;;;;;2;1.026797972
4549;0.95434899;0.938781091;;;;;;;;;;2;0.94656504
4571;0.979938032;1.012596152;;;;;;;;;;2;0.996267092
4593;0.96195031;0.952361883;;;;;;;;;;2;0.957156097
4615;0.914792127;0.928095502;;;;;;;;;;2;0.921443814
4637;0.913583879;1.027911225;;;;;;;;;;2;0.970747552
4659;0.927491704;0.96904426;;;;;;;;;;2;0.948267982
4681;0.938268599;0.95641017;;;;;;;;;;2;0.947339385
4703;0.935101153;0.990964874;;;;;;;;;;2;0.963033013
4725;0.905869456;0.860567092;;;;;;;;;;2;0.883218274
4747;0.949934502;0.899689382;;;;;;;;;;2;0.924811942
4769;1.033962271;1.095410651;;;;;;;;;;2;1.064686461
4791;1.145448065;1.097979219;;;;;;;;;;2;1.121713642
4813;1.235387028;1.158543618;;;;;;;;;;2;1.196965323
4835;1.179774031;1.065816227;;;;;;;;;;2;1.122795129
4857;1.014116093;1.126144166;;;;;;;;;;2;1.07013013
4879;0.87804487;1.027467023;;;;;;;;;;2;0.952755947
4901;0.934575362;0.862202463;;;;;;;;;;2;0.898388912
4923;0.911215129;0.884993819;;;;;;;;;;2;0.898104474
4945;0.93156257;0.905050629;;;;;;;;;;2;0.9183066
4967;1.019871809;0.958547319;;;;;;;;;;2;0.989209564
4989;0.910873974;0.885223312;;;;;;;;;;2;0.898048643
5011;0.905841032;0.870884336;;;;;;;;;;2;0.888362684
5033;1.035951248;0.984366854;;;;;;;;;;2;1.010159051
5055;0.887016327;0.977815151;;;;;;;;;;2;0.932415739
5077;0.90842371;0.863410151;;;;;;;;;;2;0.885916931
5099;0.969810694;0.960146145;;;;;;;;;;2;0.96497842
5121;0.929624395;0.852934699;;;;;;;;;;2;0.891279547
5143;0.877549741;0.869963119;;;;;;;;;;2;0.87375643
5165;0.838282123;0.842555065;;;;;;;;;;2;0.840418594
5187;0.850754826;0.820184007;;;;;;;;;;2;0.835469416
5209;0.99550151;0.969564762;;;;;;;;;;2;0.982533136
5231;1.221910549;1.07068683;;;;;;;;;;2;1.146298689
5253;1.249111179;1.07958779;;;;;;;;;;2;1.164349485
5275;1.198722436;1.166348462;;;;;;;;;;2;1.182535449
5297;1.129413833;1.237588883;;;;;;;;;;2;1.183501358
5319;1.059375543;1.214496414;;;;;;;;;;2;1.136935978
5341;0.974707124;1.082654826;;;;;;;;;;2;1.028680975
5363;0.827432305;0.935500235;;;;;;;;;;2;0.88146627
5385;0.886207305;0.945256015;0.990538262;;;;;;;;;3;0.940667194
5407;0.948986839;0.958482392;1.069993519;;;;;;;;;3;0.992487583
5429;1.119073426;1.0356829;1.148768703;;;;;;;;;3;1.101175009
5451;1.122176733;1.13330717;1.212326519;;;;;;;;;3;1.155936807
5473;0.986483675;1.106837536;1.197993951;;;;;;;;;3;1.097105054
5495;0.911647058;0.922420104;1.034354989;;;;;;;;;3;0.956140717
5517;0.94110358;0.970336046;0.899208324;;;;;;;;;3;0.93688265
5539;0.964559107;1.122455872;0.915707556;;;;;;;;;3;1.000907512
5561;1.094985781;1.116809781;1.115832794;;;;;;;;;3;1.109209452
5583;1.030753867;1.191216038;1.279358612;;;;;;;;;3;1.167109506
5605;1.04639235;1.158803149;1.20084062;;;;;;;;;3;1.135345373
5627;0.906802143;0.99585235;1.065928065;;;;;;;;;3;0.98952752
5649;0.951771507;0.986103603;0.945672042;;;;;;;;;3;0.961182384
5671;1.022021385;1.004529146;0.988730985;;;;;;;;;3;1.005093839
5693;0.951316307;1.013306765;1.077243622;;;;;;;;;3;1.013955564
5715;0.872760775;1.042371285;1.075788613;;;;;;;;;3;0.996973558
5737;0.894327635;0.990513648;1.021566818;;;;;;;;;3;0.9688027
5759;0.908522573;0.937576552;0.951817965;;;;;;;;;3;0.93263903
5781;0.872375678;0.930660076;0.893864695;;;;;;;;;3;0.898966816
5803;0.960437633;0.936378883;1.042403832;;;;;;;;;3;0.979740116
5825;1.033324041;1.020640008;1.017091427;;;;;;;;;3;1.023685159
5847;1.03299106;1.105222562;1.099230306;;;;;;;;;3;1.079147976
5869;1.103565668;1.200524967;1.177934347;;;;;;;;;3;1.160674994
5891;1.155549313;1.221240116;1.266610206;;;;;;;;;3;1.214466545
5913;1.105676768;1.174557884;1.368431708;;;;;;;;;3;1.21622212
5935;0.993213408;1.070149679;1.253999735;;;;;;;;;3;1.105787607
5957;0.95085751;0.998557599;1.055332809;;;;;;;;;3;1.001582639
5979;0.988822363;1.059968591;1.066600215;;;;;;;;;3;1.038463723
6001;1.022856996;1.024766864;1.64416508;;;;;;;;;3;1.230596313
6023;0.974641539;1.00438964;1.079606313;;;;;;;;;3;1.019545831
6045;0.91148187;1.03880568;0.956662339;;;;;;;;;3;0.968983296
6067;0.93402279;0.997223084;0.993888119;;;;;;;;;3;0.975044664
6089;1.045140603;1.066658862;1.048794159;;;;;;;;;3;1.053531208
6111;1.017545995;1.132106869;1.053760879;;;;;;;;;3;1.067804581
6133;0.986572163;1.134310578;1.085340626;;;;;;;;;3;1.068741122
6155;1.041403369;1.147976996;1.094805756;;;;;;;;;3;1.094728707
6177;1.129286084;1.145473945;1.151241463;;;;;;;;;3;1.142000497
6199;1.09272085;1.111672322;1.251294237;;;;;;;;;3;1.151895803
6221;0.982485622;1.124215257;1.103853965;;;;;;;;;3;1.070184948
6243;1.066433737;1.067500146;1.11121707;;;;;;;;;3;1.081716984
6265;1.236864812;1.225349076;1.338707849;;;;;;;;;3;1.266973912
6287;1.196849564;1.431863208;1.593787674;;;;;;;;;3;1.407500149
6309;1.037680547;1.233101163;1.203064032;;;;;;;;;3;1.157948581
6331;1.012889408;1.1119068;1.01688747;;;;;;;;;3;1.047227893
6353;0.96209368;1.075445222;1.098733603;;;;;;;;;3;1.045424169
6375;1.024578161;1.193097679;1.053168419;;;;;;;;;3;1.09028142
6397;1.105792214;1.336899177;1.213630931;;;;;;;;;3;1.218774107
6419;1.025834046;1.148351367;1.167553895;;;;;;;;;3;1.113913103
6441;1.082516128;0.977962051;1.105904947;;;;;;;;;3;1.055461042
6463;1.065894883;0.96593099;1.092910476;;;;;;;;;3;1.041578783
6485;1.051324896;1.003804517;1.189876434;;;;;;;;;3;1.081668616
6507;1.039903695;1.057106408;1.085105634;;;;;;;;;3;1.060705246
6529;1.016419762;1.039647288;1.05453646;;;;;;;;;3;1.036867837
6551;1.068566732;1.009474392;1.033007328;;;;;;;;;3;1.037016151
6573;1.239711671;1.075989701;1.086829701;;;;;;;;;3;1.134177024
6595;1.099107428;1.034883221;1.061319025;;;;;;;;;3;1.065103225
6617;1.230294398;1.149124979;1.175842418;;;;;;;;;3;1.185087265
6639;1.309892398;1.250847695;1.311744706;;;;;;;;;3;1.290828266
6661;1.228138704;1.237480775;1.27012363;;;;;;;;;3;1.245247703
6683;1.057915443;1.090177703;1.080739834;;;;;;;;;3;1.07627766
6705;1.05464443;1.048291261;1.047133576;;;;;;;;;3;1.050023089
6727;0.989071414;1.260609692;1.169018723;;;;;;;;;3;1.139566609
6749;0.996383049;1.217971052;1.193930871;;;;;;;;;3;1.136094991
6771;1.039170326;1.076292094;1.00191916;;;;;;;;;3;1.039127193
6793;1.025901408;1.11852925;1.057343991;;;;;;;;;3;1.067258216
6815;1.043310295;1.035024693;0.993466884;;;;;;;;;3;1.023933957
6837;1.117369536;1.078300755;1.024610256;;;;;;;;;3;1.073426849
6859;1.046652314;1.104672052;1.095512328;;;;;;;;;3;1.082278898
6881;1.246555804;1.145587099;1.210060052;;;;;;;;;3;1.200734318
6903;1.172347652;1.254212964;1.231114833;;;;;;;;;3;1.21922515
6925;1.033206516;1.073658664;1.051913244;;;;;;;;;3;1.052926141
6947;1.043360483;1.159855486;1.097084069;;;;;;;;;3;1.100100013
6969;1.069889647;1.154796814;1.125169069;;;;;;;;;3;1.11661851
6991;1.040562128;1.115766121;1.085528175;;;;;;;;;3;1.080618808
