age_C14;stackVK;stackFluxVK
4681;0.947339385;0.948072061
4703;0.963033013;0.954055271
4725;0.883218274;0.874346935
4747;0.924811942;0.945143536
4769;1.064686461;1.112581113
4791;1.121713642;1.168096744
4813;1.196965323;1.236573345
4835;1.122795129;1.142591514
4857;1.07013013;1.08061911
4879;0.952755947;0.989740792
4901;0.898388912;0.923940063
4923;0.898104474;0.905432165
4945;0.9183066;0.929585662
4967;0.989209564;0.992519041
4989;0.898048643;0.883329191
5011;0.888362684;0.883694779
5033;1.010159051;1.008967077
5055;0.932415739;0.930405102
5077;0.885916931;0.898853191
5099;0.96497842;0.986044092
5121;0.891279547;0.909119104
5143;0.87375643;0.869679863
5165;0.840418594;0.841747617
5187;0.835469416;0.849579281
5209;0.982533136;0.998411161
5231;1.146298689;1.182563631
5253;1.164349485;1.224881054
5275;1.182535449;1.247851153
5297;1.183501358;1.227842531
5319;1.136935978;1.152425372
5341;1.028680975;1.024165236
5363;0.88146627;0.871362932
5385;0.940667194;0.994715635
5407;0.992487583;1.092837519
5429;1.101175009;1.178455898
5451;1.155936807;1.179339321
5473;1.097105054;1.17154095
5495;0.956140717;0.977837614
5517;0.93688265;0.984292173
5539;1.000907512;1.038671888
5561;1.109209452;1.178730909
5583;1.167109506;1.268413047
5605;1.135345373;1.238831662
5627;0.98952752;1.106790604
5649;0.961182384;1.049957543
5671;1.005093839;1.041351752
5693;1.013955564;1.099105089
5715;0.996973558;1.157214142
5737;0.9688027;1.017451865
5759;0.93263903;0.918071945
5781;0.898966816;0.906998814
5803;0.979740116;1.050787306
5825;1.023685159;1.081491506
5847;1.079147976;1.23612266
5869;1.160674994;1.237288197
5891;1.214466545;1.256214599
5913;1.21622212;1.309118946
5935;1.105787607;1.18782078
5957;1.001582639;1.04385263
5979;1.038463723;1.045034339
6001;1.230596313;1.313293446
6023;1.019545831;1.081969109
6045;0.968983296;0.991317863
6067;0.975044664;0.977974084
6089;1.053531208;1.097876188
6111;1.067804581;1.107095558
6133;1.068741122;1.079002677
6155;1.094728707;1.073437461
6177;1.142000497;1.137440345
6199;1.151895803;1.136192478
6221;1.070184948;1.148766121
6243;1.081716984;1.090325219
6265;1.266973912;1.2301788
6287;1.407500149;1.451230275
6309;1.157948581;1.191084391
6331;1.047227893;0.974706805
6353;1.045424169;0.997957597
6375;1.09028142;1.056120723
6397;1.218774107;1.165747487
6419;1.113913103;1.077154341
6441;1.055461042;1.041796702
6463;1.041578783;1.006873509
6485;1.081668616;1.044103302
6507;1.060705246;1.036345402
6529;1.036867837;1.009834749
6551;1.037016151;0.984908298
6573;1.134177024;1.083415049
6595;1.065103225;1.113176995
6617;1.185087265;1.224946172
6639;1.290828266;1.278301621
6661;1.245247703;1.268198512
6683;1.07627766;1.140904522
6705;1.050023089;1.083223931
6727;1.139566609;1.145245455
6749;1.136094991;1.137274469
6771;1.039127193;1.010845274
6793;1.067258216;1.047283105
6815;1.023933957;0.986488619
6837;1.073426849;0.980677451
6859;1.082278898;1.044067715
6881;1.200734318;1.196320008
6903;1.21922515;1.175174895
6925;1.052926141;0.949397289
6947;1.100100013;0.957111579
6969;1.11661851;0.98128614
6991;1.080618808;0.96944573
7013;1.061962003;0.961992247
7035;0.998793067;0.906562852
7057;1.010133755;0.905835907
7079;1.056965973;0.968483325
7101;1.087419368;0.92992733
