age_synchro;FluxVK;FluxEDML;FluxWD;FluxDF;FluxPS1;FluxSD;FluxODC;FluxDA;FluxLDC;FluxEDC;FluxSPI
1161;49.33102746;;113.7934374;70.57437867;;94.98216369;42.87076305;54.08415034;;;87.51280217
1183;44.48968651;;70.40938859;71.06165803;;81.96036692;37.59305058;51.17265025;;;95.2467841
1205;42.15077615;;63.96883386;90.31508557;;94.96326423;32.12872942;63.93101461;;;77.7371292
1227;47.20943146;61.26934089;80.45082332;;;109.7292568;37.10744269;79.61983983;;;79.98285677
1249;55.33336006;76.51637537;90.75458128;;;114.2095152;44.31292733;81.25351163;;;99.44366016
1271;55.81060948;79.55447777;91.28946297;;;109.8204966;41.33461993;77.82532083;;;104.9763832
1293;59.01132986;69.02900875;95.6547105;;;108.4190454;44.25613924;66.71098659;;;104.3540217
1315;50.03537354;70.11673911;79.26756381;;;102.0125557;35.78995383;58.19751558;;;89.84902615
1337;52.52545472;79.2346673;71.9982754;;;98.75974345;39.47160454;69.23968072;;;86.46919231
1359;51.86785617;82.72456592;75.47587512;;;96.84050242;59.63700846;67.85587431;;;88.05456818
1381;50.42931977;78.07327159;72.55517467;;;95.80619649;57.83430841;71.5581529;;;78.09147074
1403;56.1810461;70.5147948;65.10737774;;;89.24387722;56.96423634;67.39144052;;;76.03746847
1425;50.97291092;66.024231;90.06439588;;;88.22678348;37.96022275;60.27727621;;;81.24587079
1447;49.0812329;62.62271135;65.67477407;;;90.23330088;37.94705828;58.02626727;;;78.03661086
1469;52.46379321;70.11615247;67.87280155;;;95.15814553;37.99684181;62.81993037;;;84.60945072
1491;51.0809125;68.88567127;62.53371147;;;102.1924858;36.42795925;75.12875258;;;80.84019331
1513;54.46377524;65.17737133;96.95268071;;;101.2392721;51.18641285;77.02601856;;;89.48591331
1535;48.54982979;73.10189046;88.99023863;;;103.7908646;43.65632342;71.14738657;;;87.797267
1557;47.1417291;72.90373926;75.80650946;;;94.11427073;36.95439624;64.91663924;;;68.0666333
1579;42.09259016;65.19697599;76.25547359;;;89.42070648;39.04416613;64.29447791;;;61.84250724
1601;46.20346607;70.00754272;76.39560324;;;90.96210079;38.82135359;66.47654561;;;64.78096224
1623;46.10446973;75.84684737;74.24044698;;;94.71377071;40.6010946;66.4979929;;;73.03237307
1645;44.27957003;67.59357274;74.58087706;;;99.83632462;40.11042192;61.169958;;;64.11979917
1667;46.12291338;63.17509227;63.2995171;;;103.8010881;36.84547971;68.28763211;;;68.53180817
1689;52.99860489;72.57322043;96.26016612;;;100.5069128;44.24139402;70.46580563;;;85.73330321
1711;52.37855464;82.38469828;91.38468937;;;95.58421638;45.5613667;59.85517271;;;83.00052791
1733;42.07756202;70.35053669;74.41267697;;;89.09202818;44.57322846;65.55587994;;;74.65256796
1755;40.00404333;67.19747615;80.63253889;;;83.96162704;41.06028721;65.62028042;;;67.71298853
1777;39.35688693;64.40675528;68.93184769;;;90.08919421;41.59917279;68.4784088;;;62.53963735
1799;49.56604925;70.66362347;74.19800587;;;97.35447612;45.37321729;75.88937022;;;70.40083003
1821;52.97385989;83.70676416;108.1769385;;;88.45510071;53.37728161;69.66802868;;;86.93357481
1843;50.23669491;78.02086674;92.74079989;;;85.43299426;42.32256891;60.22993223;;;80.75357906
1865;54.1232748;74.44505129;81.43907791;;;89.9880001;47.17445639;64.81150725;;;71.67399306
1887;55.47686105;81.92876185;66.79643227;;;93.44113193;46.07285028;64.61048719;;;79.82383417
1909;52.3146194;78.53494837;58.83575462;;;94.37500408;38.94550534;60.5242906;;;56.41566268
1931;54.86374437;72.57941572;83.56969403;;;94.611226;40.1696194;57.28549574;;;77.97906322
1953;49.03369349;65.32136631;76.60354641;;;101.1843565;44.10327294;65.41565524;;;71.8280472
1975;50.88745771;74.08225644;75.5056403;;;88.82646432;43.69648796;66.69013876;;;69.79786658
1997;49.06186367;69.57232124;70.83864183;;;80.26174604;36.91987534;57.16476018;;;65.10485558
2019;51.48218374;66.8698422;86.23028338;;;85.09298513;37.78260935;61.02358583;;;76.1073547
