age_vostok;Be_conc_vostok;age_da;Be_conc_da;age_edc;Be_conc_edc;age_odc;Be_conc_odc;age_sp;Be_conc_sp;age_df;Be_conc_df;age_edml;Be_conc_edml;age_ldc;Be_conc_ldc;age_sd;Be_conc_sd;age_spi;Be_conc_spi;age_td;Be_conc_td;age_wd;Be_conc_wd
956;0.839;954;1.287;345.06;0.536;2156.03;0.494;322.5;0.317;560;0.693;2360;0.313;335.6747474;0.448372071;61.25;0.271;522.36;0.406;6289.7;0.163;562.25;0.129
972;0.754;987;1.033;348.99;0.583;2178.32;0.402;330.1;0.362;569;0.731;2382;0.37;348.240404;0.630595719;62.34;0.18;531.75;0.402;6613.7;0.128;577.5;0.14
988;0.756;1009;0.842;353.14;0.465;2200.59;0.412;338.1;;577;0.726;2404;0.305;362.7696969;0.549523002;63.13;0.182;541.17;0.353;6698.9;0.132;590.65;0.137
1004;0.816;1031.5;0.926;357;0.591;2228.35;0.397;346;0.338;587;0.716;2426;0.358;376.6767677;0.509764593;64.24;0.235;553.67;0.316;7101;0.152;604.3;0.152
1020.5;0.881;1054;0.763;360.79;0.754;2250.56;0.467;353.5;0.319;597;0.708;2448;0.317;389.2262626;0.525409898;65.32;0.329;565.64;0.294;7242.5;0.142;618.75;0.161
1037;0.85;1076;;364.8;0.598;2272.77;0.559;361.5;0.479;606;0.806;2470;0.362;401.5252525;0.543292544;66.17;0.268;575.4;0.265;7329.2;0.173;632.95;0.178
1053.5;0.829;1098.5;0.714;368.75;0.72;2294.98;0.557;370;0.449;615;0.927;2492;0.407;414.3151515;0.613723416;67.03;0.283;585.17;0.293;7814.1;0.201;646.45;0.156
1070;0.807;1121.5;0.737;372.84;0.556;2317.21;0.589;378.5;0.437;623;1.072;2514;0.354;427.1111111;0.507729426;69.11;0.154;594.8;0.27;8069.8;0.188;662.95;0.177
1086.5;0.785;1144.5;0.871;377.15;0.695;2333.11;0.505;387;;632;0.931;2536;0.354;439.840404;0.671180496;70.04;0.236;605.03;0.375;8498.5;0.182;679.1;0.157
1103.5;0.841;1167.5;0.882;381.29;0.765;2365.46;0.419;396;0.456;641;1.01;2558;0.35;452.6484849;0.718553271;70.82;0.181;614.68;0.41;9074.8;0.175;692.4;0.142
1120;0.812;1190.5;0.719;385.48;0.709;2393.65;0.407;405.5;0.462;650;1.131;2580;0.301;465.0161616;0.707047511;72.03;0.262;624.2;0.413;9197;0.186;705.15;0.118
1136.5;0.82;1213.5;0.689;389.91;0.613;2416.27;0.42;413;0.504;659;0.854;2602;0.366;477.0484849;0.53966568;73.83;0.189;634.6;0.395;9573.9;0.201;724.5;0.125
1153.5;0.753;1248.65;1.119;394.05;0.592;2439.45;0.427;420;0.46;669;0.972;2624;0.362;489.3717172;0.594676116;75.25;0.175;644.96;0.4;9702;0.207;743.45;0.144
1170.5;0.708;1284;1.117;398.14;0.55;2461.8;0.469;428;0.477;680;0.895;2646;0.322;502.1696969;0.656587542;76.48;0.228;655.7;0.379;10037;0.222;755.75;0.129
1187.5;0.709;1307.5;0.983;402.45;0.61;2485.56;0.377;435.5;0.478;689;0.951;2668;0.407;514.5737374;0.657645719;78.08;0.208;667.04;0.381;10426;0.238;768.9;0.133
1205;0.819;1331;0.731;406.59;0.697;2508.27;0.395;442.5;0.381;697;0.814;2690;0.415;527.1959596;0.667056585;80.16;0.281;678.03;0.316;10501;0.254;782.25;0.141
1222.5;1.007;1354.5;0.98;410.78;0.635;2536.69;0.343;449.8;0.395;707;0.715;2712;0.407;539.9878788;0.633164992;80.86;0.18;688.39;0.341;10647;0.205;795.25;0.156
1239.5;0.909;1378;0.916;415.21;0.62;2559.3;;455.8;;718;0.9;2734;0.46;552.7616162;0.769753694;81.62;0.195;698.06;0.296;10797;0.24;808.05;0.111
1256.5;1.028;1414;1.006;419.31;0.777;2581.7;0.466;463.5;0.453;728;0.833;2756;0.448;565.7555556;0.628104434;82.95;0.254;707.8;0.345;10950;0.229;820.65;0.106
1274;0.804;1450;0.836;423.34;0.641;2606.76;0.431;471.5;0.428;739;0.809;2778;0.379;578.9858586;0.526498927;83.79;0.194;718.83;0.35;11148;0.207;833.45;0.138
1291.5;0.73;1473.5;0.787;427.59;0.57;2629.81;0.447;477;0.499;748;0.87;2800;0.326;592.1131313;0.605337565;84.5;0.222;730.56;0.316;11306;0.221;846.65;0.124
1309;0.85;1497.5;0.824;431.55;0.737;2661.25;0.534;483.5;0.426;757;0.772;2822;0.281;605.5050505;0.596861513;85.49;0.199;741.64;0.3;11505;0.251;859.95;0.146
1326.5;0.771;1533.65;1.107;435.44;0.781;2684.01;0.537;489.5;0.399;768;0.78;2844;0.37;618.6242424;0.412398252;86.82;0.253;753.1;0.314;11706;0.27;873.15;0.13
1344;0.761;1569.5;0.972;439.55;0.656;2707.78;0.51;495.5;0.609;779;0.782;2866;0.374;630.6828283;0.455665886;87.81;0.178;764.6;0.355;11934;0.364;885.75;0.139
1362;0.907;1594.5;0.86;443.5;0.705;2727.96;0.5;501.5;0.609;790;0.854;2888;0.322;;;88.48;0.393;776.21;0.318;12271;0.639;898.1;0.153
1379.5;0.811;1619.5;0.91;447.49;0.78;2750.37;0.419;506.5;0.442;801;0.685;2910;0.33;;;89.25;0.106;787.73;0.334;12524;0.391;910.1;0.154
1397;0.732;1644.5;0.929;451.7;1.03;2827.02;0.373;513;0.471;812;0.651;2932;0.407;;;89.98;0.184;798.35;0.285;12929;0.522;922.25;0.144
1415;0.791;1670;0.809;455.78;0.68;2857.24;0.402;520;0.416;822;0.672;2954;0.379;;;90.43;0.366;809.43;0.272;13151;0.45;934.85;0.128
1433;0.85;1695.5;1.05;459.93;0.598;2877.11;0.445;526.5;0.473;831;0.879;2976;0.35;;;91.18;0.198;821.36;0.315;13225;0.377;947.3;0.139
1451;0.8;1720.5;0.787;464.32;0.586;2904.47;0.401;533;0.446;839;0.733;2998;0.362;;;92.45;0.213;833.09;0.312;13521;0.584;959.85;0.155
1469;0.94;1746;0.935;468.4;0.608;2947.34;0.432;539.5;0.388;850;0.783;3020;0.379;;;93.83;0.192;844.69;0.272;13959;0.475;972.45;0.148
1487;0.786;1771.5;0.877;472.39;0.72;2982.54;0.535;546.5;0.378;861;0.686;3042;0.374;;;95.06;0.21;855.96;0.318;14470;0.552;984.8;0.132
1505;0.823;1796.77;1.029;476.6;0.667;2998.67;;552.5;0.401;870;0.746;3064;0.391;;;96.3;0.212;867.25;0.317;14981;1.113;997.15;0.124
1523;0.705;1822.12;1.063;480.66;0.962;3045.61;0.457;557;0.324;880;0.884;3086;0.326;;;98.67;0.203;879.07;0.323;16765;0.99;1009.15;0.122
1541.5;0.713;1848;0.802;484.79;0.884;3063.21;0.367;563;0.406;889;0.951;3108;0.362;;;99.53;0.173;890.65;0.376;18695;0.897;1020.95;0.127
1560;0.875;1874;;489.14;0.765;3078.16;0.401;572;0.435;900;0.806;3130;0.395;;;100.39;0.211;901.25;0.368;20659;0.684;1033.3;0.129
1578;0.75;1899.66;0.931;493.28;0.761;3091.62;0.375;580.9;0.261;910;0.797;3152;0.387;;;101.33;0.109;911.88;0.38;22841;0.679;1046.1;0.128
1596.5;0.768;1925;0.838;497.43;0.672;3111.07;0.409;589.4;;921;0.709;3174;0.37;;;102.28;0.128;923.34;0.348;26115;0.709;1058.7;0.139
1615;0.765;1951;0.827;501.82;0.889;3129.02;0.483;599;0.329;930;0.839;3196;0.383;;;102.96;0.272;935.11;0.358;27917;0.512;1079.1;0.121
1633.5;0.896;1977;0.753;505.96;0.824;3148.52;0.404;607.5;0.365;941;0.926;3218;0.342;;;103.55;0.109;947.76;0.364;29660;0.456;1099.85;0.125
1652;0.928;2003.5;1.008;510.09;1.24;3162.04;0.487;613.5;0.406;951;0.751;3240;0.411;;;104.05;0.186;960.61;0.32;31675;0.404;1112.65;0.13
1670.5;0.691;2030;0.865;514.44;0.701;3177.06;0.444;622;0.479;963;0.748;3262;0.338;;;104.45;0.121;972.8;0.345;32948;0.35;1125.55;0.104
